,Título,Autor,Categoría,Posición,Nota Media,Votos,Nota,Críticas,Resumen
508,ASÍ HABLÓ ZARATUSTRA,"NIETZSCHE, FRIEDRICH",Ensayo,19,7.91,269,Muy bueno,13,"Es una de esas obras universales, tan escasas en número, que han trascendido disciplinas, géneros, fronteras e idiomas, y que han llegado a formar parte de eso que se llama confusamente cultura genera"
509,EL MITO DE SÍSIFO,"CAMUS, ALBERT",Ensayo,20,7.91,80,Muy bueno,5,"La aparición casi simultánea ¿en 1942? de EL MITO DE SÍSIFO y ""El extranjero"" reveló al público el talento literario, la sensibilidad ética y la capacidad de reflexión teórica de Albert Camus (1913-19"
510,HISTORIA DEL TIEMPO. Del Big Bang a los agujeros negros,"HAWKING, STEPHEN W.",Ensayo,21,7.87,97,Muy bueno,2,"Stephen W. Hawking heredero de la cátedra de Newton en la Universidad de Cambridge y considerado el mayor genio del siglo XX después de Einstein, es ya una leyenda no sólo por su brillante contribució"
511,HOMO DEUS: Breve historia del mañana,"HARARI, YUVAL NOAH",Ensayo,22,7.85,77,Muy bueno,14,"¿Qué nos depara el futuro?Yuval Noah Harari, autor bestseller de Sapiens. De animales a dioses, augura un mundo no tan lejano en el cual nos veremos enfrentados a una nueva serie de retos. Homo Deus e"
512,EL CATOLICISMO EXPLICADO A LAS OVEJAS,"ESLAVA GALÁN, JUAN",Ensayo,23,7.85,51,Muy bueno,11,"¿Quién es Dios? ¿Quién fue Jesús de Nazaret? ¿Qué significa ser católico? ¿Sabemos todo lo que hay que saber sobre cómo nació el cristianismo? Juan Eslava Galán sí lo sabe, y nos lo cuenta en este div"
513,CREPÚSCULO DE LOS IDOLOS,"NIETZSCHE, FRIEDRICH",Ensayo,24,7.82,56,Muy bueno,0,Crepúsculo de los ídolos es una completa introducción de conjunto a las heterodoxias filosóficas esenciales de Friedrich Nietzsche (1844-1900). También en el aspecto estilístico constituye este libro 
514,EL EVANGELIO SEGÚN JESUCRISTO,"SARAMAGO, JOSÉ",Ensayo,25,7.79,351,Muy bueno,38,"El Evangelio según Jesucristo responde al deseo de un hombre y de un escritor de excavar hasta las raíces de la propia civilización, en el misterio de su tradición, para extraer las preguntas esencial"
515,HISTORIA UNIVERSAL DE LA INFAMIA,"BORGES, JORGE LUIS",Ensayo,26,7.77,105,Muy bueno,9,"Los siete relatos que forman Historia universal de la infamia extraen biografías y anécdotas de diversas realidades culturales y geográficas para transmutarlas, por obra de una voluntad alegórica y un"
516,MANIFIESTO COMUNISTA,"MARX, KARL y ENGELS, FRIEDRICH",Ensayo,27,7.73,69,Muy bueno,5,"Si bien el manifiesto comunista fue concebido, al igual que otras obras capitales de la reflexión política, como un panfleto, el paso del tiempo, que ha decantado la intensidad épica de su prosa y su "
517,WALDEN,"THOREAU, HENRY DAVID (Henry D. Thoreau)",Ensayo,28,7.67,55,Muy bueno,3,"Henry David Thoreau (1817-1862) nació en Concord, Massachusetts, y estudió en Harvard. Seguidor y amigo de Emerson se definió a sí mismo como un místico, un trascendentalista y un filósofo de la natur"
