,Título,Autor,Categoría,Posición,Nota Media,Votos,Nota,Críticas,Resumen
0,IACOCCA: AUTOBIOGRAFIA DE UN TRIUNFADOR,"IACOCCA, LEE",Actores,1,10,1,Excelente,1,"Lee Iacocca es el ex presidente de Ford Motor Company y Chrysler Corporation y un autor de gran éxito. Pasa su tiempo viajando, dando discursos y apoyando a la Fundación Iacocca, que financia la inves"
1,MEMORIAS DE UN FORD T o los nietos de Dios,"FRAGUAS SAAVEDRA, ANTONIO",Actores,2,10,1,Excelente,1,"Ricardo, el loco número 65, es paciente de un manicomio en el que está encerrado porque asegura que los objetos motorizados hablan. Cuando la gente escucha el ruido de un motor, él escucha palabras. E"
2,CERO,"FERNÁNDEZ RIVERO, MIGUEL",Actores,3,10,1,Excelente,1,"Los poemas de este libro recorren los senderos del ser humano y nos muestran lo poco conseguido a lo largo de nuestros días. Al principio fue el CERO. Viniste desnudo al mundo; cero en la vida, cero e"
3,FUBARBUNDY (III). LA ISLA CUARENTENA,"CUEVAS, ARMANDO",Actores,4,8,3,Muy bueno,1,"Menorca ha sido escenario de una de las batallas más cruentas de la historia, pero por fin es segura. El día a día en la isla sigue siendo duro, pero los supervivientes creen haber encontrado allí un "
4,STELALUNA,"CANNON, JANELL",Actores,5,7,1,Muy bueno,1,"Esta es la bella historia de Stelaluna, una pequeña murciélaga que se ve separada de su madre y es adoptada por una familia de pájaros. La fraternidad, la integración, las costumbres diferentes, hacen"
5,NI UNA MÁS,"SÁEZ CARRAL, MIGUEL",Actores,6,7,1,Muy bueno,0,"Alma tiene diecisiete años, el pelo castaño, la boca un poco grande y los ojos oscuros. Tiene dos amigas íntimas, Greta y Nata, un puñado de gente con la que se va de fiesta y el recuerdo de una noche"
6,MEMORIAS DE UN FORD T o los nietos de Dios,"FRAGUAS SAAVEDRA, ANTONIO",Actores,7,10,1,Excelente,1,"Ricardo, el loco número 65, es paciente de un manicomio en el que está encerrado porque asegura que los objetos motorizados hablan. Cuando la gente escucha el ruido de un motor, él escucha palabras. E"
7,CERO,"FERNÁNDEZ RIVERO, MIGUEL",Actores,8,10,1,Excelente,1,"Los poemas de este libro recorren los senderos del ser humano y nos muestran lo poco conseguido a lo largo de nuestros días. Al principio fue el CERO. Viniste desnudo al mundo; cero en la vida, cero e"
8,IACOCCA: AUTOBIOGRAFIA DE UN TRIUNFADOR,"IACOCCA, LEE",Actores,9,10,1,Excelente,1,"Lee Iacocca es el ex presidente de Ford Motor Company y Chrysler Corporation y un autor de gran éxito. Pasa su tiempo viajando, dando discursos y apoyando a la Fundación Iacocca, que financia la inves"
9,FUBARBUNDY (III). LA ISLA CUARENTENA,"CUEVAS, ARMANDO",Actores,10,8,3,Muy bueno,1,"Menorca ha sido escenario de una de las batallas más cruentas de la historia, pero por fin es segura. El día a día en la isla sigue siendo duro, pero los supervivientes creen haber encontrado allí un "
10,STELALUNA,"CANNON, JANELL",Actores,11,7,1,Muy bueno,1,"Esta es la bella historia de Stelaluna, una pequeña murciélaga que se ve separada de su madre y es adoptada por una familia de pájaros. La fraternidad, la integración, las costumbres diferentes, hacen"
11,NI UNA MÁS,"SÁEZ CARRAL, MIGUEL",Actores,12,7,1,Muy bueno,0,"Alma tiene diecisiete años, el pelo castaño, la boca un poco grande y los ojos oscuros. Tiene dos amigas íntimas, Greta y Nata, un puñado de gente con la que se va de fiesta y el recuerdo de una noche"
12,CONDICIONES PARA EL VUELO,"ALMEIDA, JOSELYN MICHELLE",Arte,1,10,1,Excelente,0,"La palabra de Joselyn expresa hondamente y de modo lirico el ciclo vital. Tal vez como la poesía más genuina, circular, consciente, responsable que sabe de su propia identidad y la recupera de manera "
13,GREGUERÍAS EN COLLAGE,"GÓMEZ DE LA SERNA, RAMÓN y TONE, ALEXANDRU (Ilustr.)",Arte,2,10,1,Excelente,1,"Un libro para disfrutar de encuentros naturalmente inesperados entre realidad e imaginación de dos artistas cuya obra despierta el asombro en el espectador.

"
14,LAS INVISIBLES: ¿Por qué el Museo del Prado ignora a las mujeres?,"RIAÑO, PEIO H.",Arte,3,9,2,Excelente,0,"Estamos ante la guerra cultural más virulenta de todas, la que se libra en un museo del siglo XIX, gestionado por personas del XX para un público del XXI. El Prado es aún, doscientos años después, una"
15,MÁS ALLÁ DE LA INCÓGNITA OVNI,"VERGEL, PABLO",Arte,4,9,1,Excelente,1,Más allá de la incógnita ovni es otro intento —probablemente vano—  de descifrar qué hay detrás de uno de los fenómenos más significativos y fascinantes de nuestros tiempo: los ovnis y sus tripulantes
16,A ESTE LADO DEL GALLINERO. Visiones en Tchnicolor y Cinemascope,"GARCI, JOSÉ LUIS",Arte,5,9,2,Excelente,1,"Para las generaciones de posguerra el cine era la salida más poderosa a otros mundos, una puerta a la libertad y la imaginación. Algunos llegaron a hacer profesión de aquella afición, como José Luis G"
17,MUJERES ARTISTAS DE LOS SIGLOS XX Y XXI,"GROSENICK, UTA",Arte,6,9,1,Excelente,0,Este libro trata exclusivamente de mujeres artistas. Con ilustraciones seleccionadas y lúcidos comentarios presenta las diversas formas que han adoptado los trabajos artísticos realizados por las muje
18,ARTESONADO DEL SALÓN DE CAZADORES EN EL PALACIO DEL INFANTADO DE GUADALAJARA,"AA, VV",Arte,7,9,1,Excelente,0,"

"
19,DEATH NOTE. BLACK EDITION 6,"OBHA, TSUGUMI Y OBATA, TAKESHI",Arte,8,8.67,3,Muy bueno,0,"¡VOLUMEN FINAL DE LA GRAN OBRA DE OBHA Y OBATA!Emocionante desenlace de la historia de Light Yagami , el mortal decidido a convertirse en el dios del nuevo mundo gracias a un Cuaderno de Muerte. Near "
20,¡ME CAGO EN GODARD!,"VALLÍN, PEDRO",Arte,9,8,3,Muy bueno,1,Críticos culturales de plumas avinagradas han sentenciado durante décadas que el cine de Hollywood oculta un maligno instrumento de adoctrinamiento colectivo. Una perversión subliminal que aliena a la
21,BRUCEPLOITATION. Los clones de Bruce Lee,"FERNÁNDEZ FOJÓN, IVÁN E.",Arte,10,8,1,Muy bueno,0,"""Tras el fallecimiento de Bruce Lee, las salas de los años 70 recibieron un aluvión de producciones protagonizadas por “clones” del Pequeño Dragón: actores con nombres como Bruce Li, Bruce Lai, Bruce "
22,LLAMANDO A LAS PUERTAS DEL CIELO,"ROMERO LAULLON, RICARDO (NEGA)",Arte,11,7.67,6,Muy bueno,1,"Diez de la mañana en una rave más allá de la V30, año 2003. Dos chavales rapean atrocidades en medio de un montón de gente que ha sobrevivido al desfase techno de esa noche. Ellos todavía no lo saben "
23,NOTAS SOBRE EL CINEMATÓGRAFO,"BRESSON, ROBERT",Arte,12,7.67,3,Muy bueno,0,"Los intérpretes, las tomas, el montaje, la música de las películas, son sujetos de la filosofía del cinematógrafo formulada magistralmente en estas NOTAS por el realizador Robert Bresson entre los año"
24,"RIALTO, 11. Naufragio y pecios de una librería","RUBIANO, BELÉN",Arte,13,8.2,15,Muy bueno,4,"Un día de principios de otoño de 2002, la luz de una pequeña y recóndita librería de la plaza del Rialto de Sevilla se apagó, sin ruido ni apenas despedidas, definitivamente. Su fundadora había empeza"
25,WEST SIDE STORY,"SHULMAN, IRVING",Arte,14,7.33,3,Muy bueno,0,"

"
26,LAS HIJAS DE LILITH,"BORNAY, ERIKA",Arte,15,7.33,3,Muy bueno,0,"Según la Biblia hebrea, Lilith fue la primera mujer que Dios quiso darle como compañera a Adán, y la hizo, a semejanza de él, del polvo de la tierra. Y Lilith, viéndose su igual, se rebeló un día ante"
27,UNA NOCHE EN EL PARAÍSO,"BERLIN, LUCIA",Arte,16,7.08,11,Muy bueno,5,"Hace pocos años, una colección de relatos de una escritora ya desaparecida y casi olvidada sacudió el panorama literario mundial. Era Manual para mujeres de la limpieza, de Lucia Berlin, quien alcanzó"
28,EL REGRESO DE JOHNNY PICKUP,"SIERRA I FABRA, JORDI",Arte,17,7,1,Muy bueno,1,"Los aficionados a la música y al rock and roll están de enhorabuena. Porque esta es una novela que aúna música, nostalgia y humor a partes iguales. Finalista del premio convocado por la editorial Espa"
29,LOS GRANDES DIRECTORES DE CINE,"AA, VV",Arte,18,7,1,Muy bueno,0,Una obra que reúna todos aquellos realizadores que han escrito páginas memorables en la historia del cine. No es tarea fácil recopilar la trayectoria de los directores esenciales del universo cinemato
30,"NO ES AMOR, ES DICIEMBRE","HERRERO, SUSANNA",Arte,19,7,1,Muy bueno,0,"Adam Wallace es abogado. No le gustan los químicos.Ariadna Cabana es química. No le gustan los abogados. Ella tiene cuatro hermanos y unos padres con los que mantiene una gran relación. Él… sobrevive,"
31,GREGUERÍAS EN COLLAGE,"GÓMEZ DE LA SERNA, RAMÓN y TONE, ALEXANDRU (Ilustr.)",Arte,20,10,1,Excelente,1,"Un libro para disfrutar de encuentros naturalmente inesperados entre realidad e imaginación de dos artistas cuya obra despierta el asombro en el espectador.

"
32,CONDICIONES PARA EL VUELO,"ALMEIDA, JOSELYN MICHELLE",Arte,21,10,1,Excelente,0,"La palabra de Joselyn expresa hondamente y de modo lirico el ciclo vital. Tal vez como la poesía más genuina, circular, consciente, responsable que sabe de su propia identidad y la recupera de manera "
33,LAS INVISIBLES: ¿Por qué el Museo del Prado ignora a las mujeres?,"RIAÑO, PEIO H.",Arte,22,9,2,Excelente,0,"Estamos ante la guerra cultural más virulenta de todas, la que se libra en un museo del siglo XIX, gestionado por personas del XX para un público del XXI. El Prado es aún, doscientos años después, una"
34,MÁS ALLÁ DE LA INCÓGNITA OVNI,"VERGEL, PABLO",Arte,23,9,1,Excelente,1,Más allá de la incógnita ovni es otro intento —probablemente vano—  de descifrar qué hay detrás de uno de los fenómenos más significativos y fascinantes de nuestros tiempo: los ovnis y sus tripulantes
35,ARTESONADO DEL SALÓN DE CAZADORES EN EL PALACIO DEL INFANTADO DE GUADALAJARA,"AA, VV",Arte,24,9,1,Excelente,0,"

"
36,MUJERES ARTISTAS DE LOS SIGLOS XX Y XXI,"GROSENICK, UTA",Arte,25,9,1,Excelente,0,Este libro trata exclusivamente de mujeres artistas. Con ilustraciones seleccionadas y lúcidos comentarios presenta las diversas formas que han adoptado los trabajos artísticos realizados por las muje
37,A ESTE LADO DEL GALLINERO. Visiones en Tchnicolor y Cinemascope,"GARCI, JOSÉ LUIS",Arte,26,9,2,Excelente,1,"Para las generaciones de posguerra el cine era la salida más poderosa a otros mundos, una puerta a la libertad y la imaginación. Algunos llegaron a hacer profesión de aquella afición, como José Luis G"
38,DEATH NOTE. BLACK EDITION 6,"OBHA, TSUGUMI Y OBATA, TAKESHI",Arte,27,8.67,3,Muy bueno,0,"¡VOLUMEN FINAL DE LA GRAN OBRA DE OBHA Y OBATA!Emocionante desenlace de la historia de Light Yagami , el mortal decidido a convertirse en el dios del nuevo mundo gracias a un Cuaderno de Muerte. Near "
39,¡ME CAGO EN GODARD!,"VALLÍN, PEDRO",Arte,28,8,3,Muy bueno,1,Críticos culturales de plumas avinagradas han sentenciado durante décadas que el cine de Hollywood oculta un maligno instrumento de adoctrinamiento colectivo. Una perversión subliminal que aliena a la
40,BRUCEPLOITATION. Los clones de Bruce Lee,"FERNÁNDEZ FOJÓN, IVÁN E.",Arte,29,8,1,Muy bueno,0,"""Tras el fallecimiento de Bruce Lee, las salas de los años 70 recibieron un aluvión de producciones protagonizadas por “clones” del Pequeño Dragón: actores con nombres como Bruce Li, Bruce Lai, Bruce "
41,LLAMANDO A LAS PUERTAS DEL CIELO,"ROMERO LAULLON, RICARDO (NEGA)",Arte,30,7.67,6,Muy bueno,1,"Diez de la mañana en una rave más allá de la V30, año 2003. Dos chavales rapean atrocidades en medio de un montón de gente que ha sobrevivido al desfase techno de esa noche. Ellos todavía no lo saben "
42,NOTAS SOBRE EL CINEMATÓGRAFO,"BRESSON, ROBERT",Arte,31,7.67,3,Muy bueno,0,"Los intérpretes, las tomas, el montaje, la música de las películas, son sujetos de la filosofía del cinematógrafo formulada magistralmente en estas NOTAS por el realizador Robert Bresson entre los año"
43,"RIALTO, 11. Naufragio y pecios de una librería","RUBIANO, BELÉN",Arte,32,8.2,15,Muy bueno,4,"Un día de principios de otoño de 2002, la luz de una pequeña y recóndita librería de la plaza del Rialto de Sevilla se apagó, sin ruido ni apenas despedidas, definitivamente. Su fundadora había empeza"
44,LAS HIJAS DE LILITH,"BORNAY, ERIKA",Arte,33,7.33,3,Muy bueno,0,"Según la Biblia hebrea, Lilith fue la primera mujer que Dios quiso darle como compañera a Adán, y la hizo, a semejanza de él, del polvo de la tierra. Y Lilith, viéndose su igual, se rebeló un día ante"
45,WEST SIDE STORY,"SHULMAN, IRVING",Arte,34,7.33,3,Muy bueno,0,"

"
46,UNA NOCHE EN EL PARAÍSO,"BERLIN, LUCIA",Arte,35,7.08,11,Muy bueno,5,"Hace pocos años, una colección de relatos de una escritora ya desaparecida y casi olvidada sacudió el panorama literario mundial. Era Manual para mujeres de la limpieza, de Lucia Berlin, quien alcanzó"
47,"NO ES AMOR, ES DICIEMBRE","HERRERO, SUSANNA",Arte,36,7,1,Muy bueno,0,"Adam Wallace es abogado. No le gustan los químicos.Ariadna Cabana es química. No le gustan los abogados. Ella tiene cuatro hermanos y unos padres con los que mantiene una gran relación. Él… sobrevive,"
48,EL REGRESO DE JOHNNY PICKUP,"SIERRA I FABRA, JORDI",Arte,37,7,1,Muy bueno,1,"Los aficionados a la música y al rock and roll están de enhorabuena. Porque esta es una novela que aúna música, nostalgia y humor a partes iguales. Finalista del premio convocado por la editorial Espa"
49,LOS GRANDES DIRECTORES DE CINE,"AA, VV",Arte,38,7,1,Muy bueno,0,Una obra que reúna todos aquellos realizadores que han escrito páginas memorables en la historia del cine. No es tarea fácil recopilar la trayectoria de los directores esenciales del universo cinemato
50,ENFERMERA EN APUROS. La que elige el tamaño de la aguja,"POLEGRE, ANA (Enfermera en apuros)",Autoayuda,1,10,1,Excelente,0,"Suena el teléfono. —¿Puedes estar en media hora en la otra punta de la provincia para una guardia?Esa es la enfermera en apuros, ella puede ser cualquier enfermero de este país. La Enfermera en apuros"
51,ACEPTA Y VUELA. DE odiarme a amarme sin medida,"JIMÉNEZ, MARA (@croquetamente_)",Autoayuda,2,10,1,Excelente,1,"""Solo desde el amor a una misma es posible sanar de verdad.""En este libro voy a contarte mi historia. Esa que incluye los trastornos de la conducta alimentaria que sufrí, el bullying, la gordofobia, l"
52,UN ALMA VALIENTE. Descubre la fuerza que hay en ti para vencer el bullying y otras adversidades,"VUJICIC, NICK",Autoayuda,3,9,1,Excelente,0,"En Un alma valiente, Nick te da las estrategias para crear ""un sistema de defensa"" que te permitirá enfrentar a los bullies de todo tipo y te motivará a desarrollar tu fuerza desde el interior. Un lib"
53,LA MAGIA EN TI. Consigue todo lo que te propongas,"CORRAL, CRISTINA",Autoayuda,4,9,1,Excelente,1,"¿Haces todo lo que puedes para agradar a los demás? Este es tu momento para dejar de ser una persona PERFECTA y pasar a ser una persona ÚNICA.

"
54,EL EGO ES EL ENEMIGO,"HOLIDAY, RYAN",Autoayuda,5,8,3,Muy bueno,1,"Es frecuente ver en el entorno los obstáculos para lograr nuestras metas. Sin embargo, hay un poderoso enemigo interior que es en realidad la causa que nos impide avanzar en muchos sentidos: el ego. A"
55,ACEPTA Y VUELA. DE odiarme a amarme sin medida,"JIMÉNEZ, MARA (@croquetamente_)",Autoayuda,6,10,1,Excelente,1,"""Solo desde el amor a una misma es posible sanar de verdad.""En este libro voy a contarte mi historia. Esa que incluye los trastornos de la conducta alimentaria que sufrí, el bullying, la gordofobia, l"
56,ENFERMERA EN APUROS. La que elige el tamaño de la aguja,"POLEGRE, ANA (Enfermera en apuros)",Autoayuda,7,10,1,Excelente,0,"Suena el teléfono. —¿Puedes estar en media hora en la otra punta de la provincia para una guardia?Esa es la enfermera en apuros, ella puede ser cualquier enfermero de este país. La Enfermera en apuros"
57,UN ALMA VALIENTE. Descubre la fuerza que hay en ti para vencer el bullying y otras adversidades,"VUJICIC, NICK",Autoayuda,8,9,1,Excelente,0,"En Un alma valiente, Nick te da las estrategias para crear ""un sistema de defensa"" que te permitirá enfrentar a los bullies de todo tipo y te motivará a desarrollar tu fuerza desde el interior. Un lib"
58,LA MAGIA EN TI. Consigue todo lo que te propongas,"CORRAL, CRISTINA",Autoayuda,9,9,1,Excelente,1,"¿Haces todo lo que puedes para agradar a los demás? Este es tu momento para dejar de ser una persona PERFECTA y pasar a ser una persona ÚNICA.

"
59,EL EGO ES EL ENEMIGO,"HOLIDAY, RYAN",Autoayuda,10,8,3,Muy bueno,1,"Es frecuente ver en el entorno los obstáculos para lograr nuestras metas. Sin embargo, hay un poderoso enemigo interior que es en realidad la causa que nos impide avanzar en muchos sentidos: el ego. A"
60,LA ACTUACIÓN MUSICAL,"MANRESA, MARÍA ÁNGELES",Autoayuda y espiritualidad,1,10,1,Excelente,0,"Este libro trata de forma concisa y sencilla todos aquellos aspectos que influyen en las actuaciones musicales (conciertos, audiciones docentes, pruebas...) y que determinan, por tanto, su éxito final"
61,LA DESAPARICIÓN DEL UNIVERSO,"RENARD, GARY R.",Autoayuda y espiritualidad,2,10,1,Excelente,0,"¿Qué harías si estuvieras sentado tranquilamente en el salón de tu casa y dos misteriosos desconocidos aparecieran de la nada y te dijeran que son ""maestros ascendidos"" que han venido a revelarte cier"
62,LÍDERES EN EL DESIERTO. GOSÉN,"SEGURA, VÍCTOR",Autoayuda y espiritualidad,3,10,1,Excelente,1,Este libro es un llamado de Dios para que despiertes el lider que llevas dentro. El planteamiento de LIDERES EN EL DESIERTO se basa en el hecho que Dios tiene el poder para transformarte en el lider q
63,DEJAR IR,"HAWKINS, DAVID R.",Autoayuda y espiritualidad,4,10,1,Excelente,1,"Este es el último libro publicado en español del doctor David Hawkins, pionero de la medicina y de la investigación de la conciencia, y maestro de Un curso de milagros. Basándose en su experiencia per"
64,TE DIBUJARÉ UNA ARMADURA,"FERNÁNDEZ-PICO, VIVIANA",Autoayuda y espiritualidad,5,10,1,Excelente,1,"La historia neuroATÍPICA de OttoMi niño no dibuja ni escribe, tampoco lo intenta. Coge el lápiz, hace una raya y con eso es suficiente. Entonces le obligo a hacer sus cuadernos de caligrafía, a unir p"
65,LA REVOLUCIÓN DE LA GLUCOSA. Equilibra tus niveles de glucosa y cambiarás tu salud y tu vida,"INCHAUSPÉ, JESSIE",Autoayuda y espiritualidad,6,10,1,Excelente,0,"Mejora todos los aspectos de tu salud, desde el peso, el sueño, los antojos, el estado de ánimo, la energía, la piel… e incluso retrasa el envejecimiento con trucos fáciles de implementar y basados en"
66,DIARIO DE UN CUERPO,"IRUSTA, ERIKA",Autoayuda y espiritualidad,7,10,1,Excelente,0,Diario de un cuerpo es un texto íntimo y de una sinceridad extraordinaria. Ilumina infinidad de aspectos ocultos de los estadios por los que pasa el cuerpo femenino a lo largo del ciclo menstrual. El 
67,TIEMPO DE MEDITAR,"ANDRÉ, CHRISTOPHE",Autoayuda y espiritualidad,8,10,1,Excelente,1,"En un mundo hiperacelerado que nos satura a diario con pantallas y exigencias, a menudo nos descubrimos desconectados de nosotros mismos y de nuestras auténticas necesidades. Décadas de investigacione"
68,MINIMALISTAMENTE. El poder transformador de lo simple,"COINES, ADRIANA",Autoayuda y espiritualidad,9,10,1,Excelente,0,"Hace tres años, la bloguera Adriana Coines inició su transformación depurando su armario y ya no se detuvo: cambió hábitos, se liberó de todo aquello que le restaba energía y dejó espacio a nuevas exp"
69,CONSTELACIONES. Guía ilustrada de astrología,"SANTOS, CARLOTA (@carlotydes)",Autoayuda y espiritualidad,10,10,1,Excelente,1,"Constelaciones es la guía ilustrada de astrología más divertida e interesante que podrás encontrar. Con este libro descubrirás la historia de tu signo (y cuáles son las mejores compatibilidades), apre"
70,YOGA CON HUMOR,"ARTEAGA AGUILAR, JULIA",Autoayuda y espiritualidad,11,9.67,3,Excelente,2,"Un enfoque nuevo, divertido y espontáneo para descubrir el yoga. Acompañado de unas viñetas de la propia autora, a un tiempo didácticas y llenas de humor y ternura, este libro es una invitación a la p"
71,COSAS QUE PIENSAS CUANDO TE MUERDES LAS UÑAS,"ANDRADE, AMALIA",Autoayuda y espiritualidad,12,9,3,Excelente,2,"Hola, soy Amalia y con este libro quiero explicarles cómo funciona el miedo, cómo se adueña de nosotros y cómo nos persigue desde la infancia. Si antes les temíamos a los monstruos de debajo de la cam"
72,"SIENDO NADIE, YENDO A NINGUNA PARTE","KHEMA, AYYA",Autoayuda y espiritualidad,13,9,2,Excelente,1,"Estamos ante una joya de la literatura budista reciente donde se explica los principios básicos para una iniciación al budismo que ha fascinado a Occidente: la meditación, el amor incondicional, etc.."
73,SALUDABLE MENTE. Hábitos para optimizar tu cerebro y mejorar tu salud a cualquier edad,"VÁZQUEZ, MARCOS",Autoayuda y espiritualidad,14,9,2,Excelente,0,"El objetivo de este libro es ayudarte a entender mejor su funcionamiento, pero sobre todo, enseñarte a mejorarlo. Cuidar de tu cerebro no solo te ayudará a prevenir trastornos como la demencia, el alz"
74,AMOR ZERO,"PIÑUEL, IÑAKI",Autoayuda y espiritualidad,15,9,1,Excelente,1,"Basado en la experiencia clínica de veinticinco años tratando casos de víctimas que sufren relaciones tóxicas, el autor explica de una manera clara y práctica cómo detectar este tipo de parejas y, lo "
75,"AYUNO INTERMITENTE SALUDABLE. Gana energía y salud, mejora tu descanso y potencia tu longevidad","ZAPLANA, CARLA",Autoayuda y espiritualidad,16,9,1,Excelente,1,"El ayuno intermitente ha llegado para quedarse y no pasa un día sin que oigamos hablar de sus beneficios, aunque tanta información al respecto puede llegar a confundirnos. Los estudios científicos dem"
76,LA PÉRDIDA DE UN SER QUERIDO,"PRIETO, VICENTE",Autoayuda y espiritualidad,17,9,1,Excelente,1,"Estrategias para el duelo. Sentirte mejor no es olvidar.No estamos preparados para la muerte, vivimos de espaldas a ella, como si no existiera. Sigue siendo un tema tabú alrededor del cual existe una "
77,EL ÁMBITO DE LO PRETERNATURAL,"MANZANO, JORGE",Autoayuda y espiritualidad,18,9,1,Excelente,1,"Diversos fenómenos extraños, a veces inquietantes y aun terroríficos, suelen calificarse como fantasmas, hechicerías, clarividencias, etcétera; de dichos fenómenos se suscitan diversas preguntas, por "
78,CABALGAR EL TIGRE,"EVOLA, JULIUS",Autoayuda y espiritualidad,19,9,1,Excelente,0,	La obra más famosa reconocida en ámbitos intelectuales que traspasaban las barreras de la corriente tradicionalista. Describe la decadencia política y social del Mundo Moderno a fines del siglo XX. S
79,CÓMO RECTIFICAR LA CARTA NATAL,"EFREIN, LAURIE",Autoayuda y espiritualidad,20,9,1,Excelente,0,"La literatura astrológica está repleta de libros que tratan del levantamiento de cartas y de su construcción, de cómo analizarlas y compararlas, la forma de analizar su simbolismo y ciclos desde disti"
80,SOLTAR EL YO,"LARRUY BAEZA, ANTONIO JORGE",Autoayuda y espiritualidad,21,9,1,Excelente,1,"A través de este libro intentamos acercarnos al verdadero sentido de la relación, plantearnos qué es relacionarnos, para poder entender que en general vivimos la relación a partir de un yo que presupo"
81,DIETA Y MEDITACIÓN. Aprender a comer de forma consciente,"GAUDING, MADONNA",Autoayuda y espiritualidad,22,9,1,Excelente,1,Dieta y meditación es una guía práctica que nos anima a incorporar las técnicas de la atención plena en nuestra relación con los alimentos. Además nos ayuda a tomar decisiones que nos acercan a una vi
82,DECIR SÍ A LA VIDA. Ganar fortaleza y abandonar el sufrimiento,"GARRIGA, JOAN",Autoayuda y espiritualidad,23,9,1,Excelente,1,"Cada ser humano, en su inmensidad y pequeñez, es una llama que brilla con luz propia y destaca sobre todas las demás. El mundo es un mar de fueguitos, cada uno con su particular historia. Una llama in"
83,EN AUSCHWITZ NO HABÍA PROZAC. 12 consejos de una superviviente para curar tus heridas y vivir en libertad,"EGER, EDITH",Autoayuda y espiritualidad,24,8.75,2,Muy bueno,1,"Edith Eger, conocida como la bailarina de Auschwitz, nos describe cuáles son las 12 prisiones mentales en las que nos recluimos tras un episodio traumático, como el victimismo, la evasión, el abandono"
84,CUENTA CONTIGO,"RAMÍREZ, PATRICIA",Autoayuda y espiritualidad,25,8.67,3,Muy bueno,1,"Patricia Ramírez ofrece 20 propuestas para dejar de depender de los demás, tomar las riendas de nuestra propia vida y alcanzar así nuestros objetivos personales, profesionales y deportivos. Porque las"
85,VIVIR CON ABUNDANCIA,"FERNÁNDEZ, SERGIO",Autoayuda y espiritualidad,26,8.67,3,Muy bueno,1,Algunas personas materializan todo aquello que desean sin esfuerzo; otras parecen condenadas a una vida de resignación y sufrimiento. Vivir con abundancia no es un libro: es una revolución que te perm
86,"MUCHAS VIDAS, MUCHOS MAESTROS","WEISS, BRIAN",Autoayuda y espiritualidad,27,8.5,16,Muy bueno,3,"Weiss relata en este libro una asombrosa experiencia que cambió su vida por completo. Una de sus pacientes, Catherine, recordó bajo hipnosis varias de sus vidas y pudo encontrar en ellas el origen de "
87,"VIDA Y MILAGROS DE MONSEÑOR ESCRIVÁ DE BALAGUER, FUNDADOR DEL OPUS DEI","CARANDELL, LUIS",Autoayuda y espiritualidad,28,8.5,2,Muy bueno,1,"a primera biografía (1975) escrita por un periodista de prestigio, independiente, que investigó y se documentó buscando testimonios reales de personas que conocieron a la familia Escrivá y compañeros "
88,PIENSA COMO UN MONJE. Entrena tu mente para la paz interior y consigue una vida plena,"SHETTY, JAY",Autoayuda y espiritualidad,29,8.5,2,Muy bueno,1,"Jay Shetty, la superestrella de las redes sociales y presentador del podcast nº 1 On Purpose, destila en este libro la sabiduría eterna que aprendió como monje y la expone con pasos prácticos que cual"
89,UN NUEVO MUNDO AHORA. Encuentra el propósito de tu vida,"TOLLE, ECKHART",Autoayuda y espiritualidad,30,8.35,17,Muy bueno,2,"El poder del ahora consagró a Eckhart Tolle como uno de los mejores maestros de la literatura espiritual de nuestros días. Después de casi ocho años, esta continuación, tanto tiempo esperada, trae de "
90,"HÁBITOS ATÓMICOS. Cambios pequeños, resultados extraordinarios","CLEAR, JAMES",Autoayuda y espiritualidad,31,8.33,10,Muy bueno,2,"A menudo pensamos que para cambiar de vida tenemos que pensar en hacer cambios grandes. Nada más lejos de la realidad. Según el reconocido experto en hábitos James Clear, el cambio real proviene del r"
91,"QUIÉRETE MUCHO, MARICÓN","MARTÍN, GABRIEL J",Autoayuda y espiritualidad,32,8.33,3,Muy bueno,0,"«Quiérete mucho, maricón» es la expresión con la que el autor se despide de los lectores en cada uno de sus artículos sobre psicología afirmativa gay. En este libro, el autor explica de manera riguros"
92,EL PLACEBO ERES TÚ,"DISPENZA, JOE",Autoayuda y espiritualidad,33,8.33,3,Muy bueno,1,"“El placebo eres tú es un auténtico manual de instrucciones para provocar milagros en tu cuerpo, en tu salud y en tu vida.” Christiane Northrup La mente posee unas capacidades asombrosas. No solo es c"
93,COMUNICACIÓN NO VIOLENTA. Un lenguaje de vida,"ROSENBERG, MARSHALL B.",Autoayuda y espiritualidad,34,8.33,3,Muy bueno,1,¿Cómo nos vinculamos con otra persona cuando sentimos mucho enfado y dolor? ¿Qué hacemos cuando estamos en pleno desacuerdo con los argumentos planteados? ¿Cómo respondemos a la angustia y desesperanz
94,LA DANZA INVISIBLE DE PI,"FERRER PLAZA, PITU",Autoayuda y espiritualidad,35,8,3,Muy bueno,1,"Bienvenido a la Danza Invisible de Pi, un espacio lleno de dimensiones de la existencia dónde navegarás en la espiral de la evolución del ser a través de textos e ilustraciones.Mundos llenos de magia "
95,ROTA SE CAMINA IGUAL,"PRONSKY, LORENA",Autoayuda y espiritualidad,36,8,2,Muy bueno,1,"Apoyada en la herida como parte inevitable de la vida, la autora nos invita a reflexionar acerca de cómo y de qué forma podemos transitar con los dolores que nos perforan el alma y nos marcan un nuevo"
